# id:11--11-11-0 
-0.09,-0.01,-1
-0.7,-0.98,-1
-0.29,0.2,1
0.88,0.27,-1
-0.27,0.92,1
0.18,0.87,1
0.22,-0.02,-1
0.33,-0.27,-1
-0.96,0.2,-1
-0.14,-0.91,-1
0.95,0.31,-1
-0.73,0.25,-1
-0.44,0.61,1
-0.53,0.42,1
-0.88,0.3,-1
-0.57,-0.11,-1
0.64,0.56,1
-0.8,-0.84,-1
-0.06,-0.41,-1
-0.54,0.73,1
0.45,0.85,1
0.13,-0.78,-1
0.9,-0.43,-1
0.82,-0.12,-1
-0.88,0.44,-1
0.22,0.9,1
-0.74,0.87,1
-0.88,-0.11,-1
-0.63,0.91,1
0.34,0.3,1
0.76,0.22,-1
-0.09,0.78,1
-0.47,-0.11,-1
-0.8,0.05,-1
-0.15,0.35,1
0.22,-0.18,-1
0.03,0.6,1
-0.46,-0.8,-1
0.79,0.64,1
0.92,-0.41,-1
-0.16,0.69,1
0.23,-0.94,-1
-0.13,0.54,1
0.47,0.76,1
0.39,-0.13,-1
-0.65,-0.6,-1
-0.18,0.68,1
0.18,-0.58,-1
-0.75,0.47,1
0.22,0.3,1
0.48,-0.63,-1
-0.61,0.04,-1
-0.65,-0.67,-1
0.37,-0.13,-1
-0.67,0.95,1
-0.14,-0.29,-1
-0.7,0.38,-1
0.16,0.14,1
-0.89,0.16,-1
-0.85,0.13,-1
-0.44,0.97,1
-0.52,-0.8,-1
-0.6,0.1,-1
-0.41,0.57,1
0.11,0.18,1
-0.48,0.21,-1
0.71,-0.2,-1
0.6,-0.88,-1
0.93,-0.9,-1
0.63,0.4,1
-0.83,0.17,-1
-0.82,-0.66,-1
0.69,0.64,1
0.61,-0.95,-1
0.79,0.68,-1
0.57,-0.91,-1
0.18,0.41,1
-0.83,-0.3,-1
0,-0.54,-1
-0.96,-0.17,-1
0.96,-0.35,-1
0.25,-0.33,-1
0.76,0.96,1
-0.17,-0.78,-1
0.01,-0.81,-1
-0.97,-0.56,-1
-0.42,0.69,1
-0.81,-0.87,-1
-0.11,0.16,1
-0.41,0.35,1
-0.42,0.3,1
0.35,-0.21,-1
-0.47,0.68,1
0.43,0.26,1
0.15,0.89,1
0.02,-0.74,-1
0.54,0.78,1
0.08,0.49,1
0.99,-0.1,-1
-0.9,-0.07,-1
0.29,0.83,1
-0.67,-0.39,-1
0.37,-0.37,-1
-0.21,0.4,1
0.54,0.65,1
-0.52,-0.01,-1
-0.06,-0.04,-1
0.4,0.92,1
-0.18,-0.09,-1
0.6,0.29,1
-0.69,0.17,-1
0.84,0.6,-1
-0.84,-0.58,-1
0.09,0.64,1
0.86,-0.82,-1
0.42,-0.56,-1
-0.35,0.87,1
0.4,-0.26,-1
0.78,-0.01,-1
-0.09,0.57,1
-0.27,0.97,1
-0.65,0.26,-1
-0.96,0.27,-1
-0.46,-0.65,-1
-0.68,-0.79,-1
-0.48,0.57,1
-0.94,0.35,-1
0.46,0.38,1
-0.72,0.57,1
0.17,0.96,1
0.64,-0.66,-1
-0.69,-0.24,-1
-0.82,-0.57,-1
0.24,-0.32,-1
-0.16,-0.33,-1
-0.01,0.99,1
0.37,-0.6,-1
-0.36,0.5,1
0.55,-0.85,-1
-0.33,0.74,1
-0.74,0.64,1
-0.93,-0.16,-1
-0.71,-0.44,-1
-0.19,0.95,1
